----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
 AutoBatchNorm2d-116         [-1, 1024, 14, 14]           2,048
            ReLU-117         [-1, 1024, 14, 14]               0
      Bottleneck-118         [-1, 1024, 14, 14]               0
      AutoConv2d-119          [-1, 256, 14, 14]         262,144
 AutoBatchNorm2d-120          [-1, 256, 14, 14]             512
            ReLU-121          [-1, 256, 14, 14]               0
      AutoConv2d-122          [-1, 256, 14, 14]         589,824
 AutoBatchNorm2d-123          [-1, 256, 14, 14]             512
        Identity-124          [-1, 256, 14, 14]               0
            ReLU-125          [-1, 256, 14, 14]               0
        Identity-126          [-1, 256, 14, 14]               0
      AutoConv2d-127         [-1, 1024, 14, 14]         262,144
 AutoBatchNorm2d-128         [-1, 1024, 14, 14]           2,048
            ReLU-129         [-1, 1024, 14, 14]               0
      Bottleneck-130         [-1, 1024, 14, 14]               0
      AutoConv2d-131          [-1, 256, 14, 14]         262,144
 AutoBatchNorm2d-132          [-1, 256, 14, 14]             512
            ReLU-133          [-1, 256, 14, 14]               0
      AutoConv2d-134          [-1, 256, 14, 14]         589,824
 AutoBatchNorm2d-135          [-1, 256, 14, 14]             512
        Identity-136          [-1, 256, 14, 14]               0
            ReLU-137          [-1, 256, 14, 14]               0
        Identity-138          [-1, 256, 14, 14]               0
      AutoConv2d-139         [-1, 1024, 14, 14]         262,144
 AutoBatchNorm2d-140         [-1, 1024, 14, 14]           2,048
            ReLU-141         [-1, 1024, 14, 14]               0
      Bottleneck-142         [-1, 1024, 14, 14]               0
      AutoConv2d-143          [-1, 256, 14, 14]         262,144
 AutoBatchNorm2d-144          [-1, 256, 14, 14]             512
            ReLU-145          [-1, 256, 14, 14]               0
      AutoConv2d-146          [-1, 256, 14, 14]         589,824
 AutoBatchNorm2d-147          [-1, 256, 14, 14]             512
        Identity-148          [-1, 256, 14, 14]               0
            ReLU-149          [-1, 256, 14, 14]               0
        Identity-150          [-1, 256, 14, 14]               0
      AutoConv2d-151         [-1, 1024, 14, 14]         262,144
 AutoBatchNorm2d-152         [-1, 1024, 14, 14]           2,048
            ReLU-153         [-1, 1024, 14, 14]               0
      Bottleneck-154         [-1, 1024, 14, 14]               0
      AutoConv2d-155          [-1, 256, 14, 14]         262,144
 AutoBatchNorm2d-156          [-1, 256, 14, 14]             512
            ReLU-157          [-1, 256, 14, 14]               0
      AutoConv2d-158          [-1, 256, 14, 14]         589,824
 AutoBatchNorm2d-159          [-1, 256, 14, 14]             512
        Identity-160          [-1, 256, 14, 14]               0
            ReLU-161          [-1, 256, 14, 14]               0
        Identity-162          [-1, 256, 14, 14]               0
      AutoConv2d-163         [-1, 1024, 14, 14]         262,144
 AutoBatchNorm2d-164         [-1, 1024, 14, 14]           2,048
            ReLU-165         [-1, 1024, 14, 14]               0
      Bottleneck-166         [-1, 1024, 14, 14]               0
      AutoConv2d-167          [-1, 512, 14, 14]         524,288
 AutoBatchNorm2d-168          [-1, 512, 14, 14]           1,024
            ReLU-169          [-1, 512, 14, 14]               0
      AutoConv2d-170            [-1, 512, 7, 7]       2,359,296
 AutoBatchNorm2d-171            [-1, 512, 7, 7]           1,024
        Identity-172            [-1, 512, 7, 7]               0
            ReLU-173            [-1, 512, 7, 7]               0
        Identity-174            [-1, 512, 7, 7]               0
      AutoConv2d-175           [-1, 2048, 7, 7]       1,048,576
 AutoBatchNorm2d-176           [-1, 2048, 7, 7]           4,096
          Conv2d-177           [-1, 2048, 7, 7]       2,097,152
 AutoBatchNorm2d-178           [-1, 2048, 7, 7]           4,096
            ReLU-179           [-1, 2048, 7, 7]               0
      Bottleneck-180           [-1, 2048, 7, 7]               0
      AutoConv2d-181            [-1, 512, 7, 7]       1,048,576
 AutoBatchNorm2d-182            [-1, 512, 7, 7]           1,024
            ReLU-183            [-1, 512, 7, 7]               0
      AutoConv2d-184            [-1, 512, 7, 7]       2,359,296
 AutoBatchNorm2d-185            [-1, 512, 7, 7]           1,024
        Identity-186            [-1, 512, 7, 7]               0
            ReLU-187            [-1, 512, 7, 7]               0
        Identity-188            [-1, 512, 7, 7]               0
      AutoConv2d-189           [-1, 2048, 7, 7]       1,048,576
 AutoBatchNorm2d-190           [-1, 2048, 7, 7]           4,096
            ReLU-191           [-1, 2048, 7, 7]               0
      Bottleneck-192           [-1, 2048, 7, 7]               0
      AutoConv2d-193            [-1, 512, 7, 7]       1,048,576
 AutoBatchNorm2d-194            [-1, 512, 7, 7]           1,024
            ReLU-195            [-1, 512, 7, 7]               0
      AutoConv2d-196            [-1, 512, 7, 7]       2,359,296
 AutoBatchNorm2d-197            [-1, 512, 7, 7]           1,024
        Identity-198            [-1, 512, 7, 7]               0
            ReLU-199            [-1, 512, 7, 7]               0
        Identity-200            [-1, 512, 7, 7]               0
      AutoConv2d-201           [-1, 2048, 7, 7]       1,048,576
 AutoBatchNorm2d-202           [-1, 2048, 7, 7]           4,096
            ReLU-203           [-1, 2048, 7, 7]               0
      Bottleneck-204           [-1, 2048, 7, 7]               0
AdaptiveAvgPool2d-205           [-1, 2048, 1, 1]               0
         Flatten-206                 [-1, 2048]               0
SelectAdaptivePool2d-207                 [-1, 2048]               0
          Linear-208                 [-1, 1000]       2,049,000
================================================================
Total params: 25,557,032
Trainable params: 25,557,032
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.57
Forward/backward pass size (MB): 307.64
Params size (MB): 97.49
Estimated Total Size (MB): 405.71
----------------------------------------------------------------
